#type: 		writing
#specification:	Blazon (bla) - Heraldic language
#scriptcode:	Latn
#source:	http://www.heraldry-scotland.co.uk/lindsay.html (last access: 24.03.2019); Short overview on the use of blazon in scottish heraldry: http://heraldry.sca.org/armory/bruce.html (last access: 24.03.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Blazon, a formal description of heraldic arms, uses an own syntactic system and specific vocabulary. Here: a collection of Queen Mary's Roll. 

<line_1>	Gules, a griffin segreant within a double tressure flory counter-flory Argent
<line_2>	Quarterly: 1st and 4th Gules, on a chevron Argent a rose between two lions combatant Gules (Hepburn) 2nd and 3rdArgent, three martlets Gules (Gourlay)
<line_3>	Argent, three cocks Gules
<line_4>	Or, on a bend Azure a crescent between two mullets Or
<line_5>	Gules, on a chevron Argent three cinquefoils Gules and in base a stag's head erased Or
<line_6>	Argent, a saltire Sable and on a chief Sable three tasselled cushions lozengewise Argent
<line_7>	Gules, three cranes Argent
<line_8>	Quarterly: 1st and 4th Argent, a heart Gules and on a chief Azure three mullets Argent (Douglas) 2nd and 3rd Azure, a bend between six crosses crosslet fitchy Or (Earldom of Mar); all within a bordure engrailed Gules
<line_9>	Or, on a bend Azure three crescents Or
<line_10>	Argent, three unicorns' heads couped Sable
<line_11>	Argent, a saltire engrailed between four roses all Gules
<line_12>	Argent, three stringed hunting horns Sable
<line_13>	Azure, in chief three mullets Argent
<line_14>	Quarterly: 1st and 4th Argent, a bend Azure (Sandilands) 2nd and 3rd Argent, a heart Gules and on a chief Azure three mullets Argent (Douglas)
<line_15>	Argent, a griffin segreant Sable beaked and membered Gules
<line_16>	Gules, a fess Ermine and in dexter chief a mullet Argent
<line_17>	Quarterly: 1st and 4th Gules, a bend chequy Argent and Sable (Menteith) 2nd and 3rd Azure, three buckles Or (Stirling)
<line_18>	Quarterly: 1st and 4th Or, three piles Sable (Logan) 2nd and 3rdSable, an eagle displayed Argent (Restalrig)
<line_19>	Gules, on a bend Argent two cinquefoils and as many lions passant alternately Gules
<line_20>	Argent, a cross engrailed Sable
<line_21>	Argent, a fess between three stringed hunting-horns all Sable
<line_22>	Azure, on a fess Argent between three mascles Argent as many crescents Gules
<line_23>	Or, a lion rampant Gules debruised by a riband sinister Sable
<line_24>	Ermine, a lion rampant Azure
<line_25>	Argent, a lion rampant Gules crowned Or
<line_26>	Gules, a fess Or between three bezants
<line_27>	Gyronny of eight Ermine and Gules
<line_28>	Argent, a fetter-lock Sable and on a chief Azure three mullets Argent
<line_29>	Ermine, three bars and a bordure Gules
<line_30>	Quarterly: 1st and 4th Or, a fess chequy Argent and Azure (Stewart) 2nd and 3rd Ermine, on a fess Sable three crescents Argent (Craigie)
<line_31>	Argent, on a chevron Sable an otter's head couped Argent and in base a saltire couped Sable
<line_32>	Gules, on a chevron Argent a cinquefoil between two lions combatant Gules and in base a buckle Or
<line_33>	Argent, on a bend engrailed Sable a mullet Argent in dexter chief
<line_34>	Argent, on a chevron Sable between, in chief, two otters' heads erased Sable and in base a fleur-de-lis Azure, another otter's head erased Argent
<line_35>	Or, a lion rampant Gules grasping a sword Argent bend-sinisterwise in its dexter forepaw
<line_36>	Argent, an eagle displayed Sable
<line_37>	Quarterly: 1st and 4th Or, a lion rampant Gules (Wallace) 2nd and 3rd Gules, a fess chequy Argent and Azure (Lindsay)
<line_38>	Argent, on a saltire engrailed Sable nine mascles Argent
<line_39>	Argent, on a bend Azure a mullet between two acorns slipped Or
<line_40>	Azure, a hare rampant Or strung round the neck with a hunting-horn Vert
<line_41>	Gules, on a fess Argent between three square locks Argent a crescent Azure
<line_42>	Sable, a lion rampant Argent
<line_43>	Quarterly: 1st and 4th Argent, an eagle displayed Sable (Ramsay) 
<line_44>	2nd and 3rd Azure, a horse's head couped between three mascles all Argent
<line_45>	Quarterly: 1st and 4th Argent, an eagle displayed Sable (Ramsay) 
<line_46>	2nd and 3rd Argent, a lion passant Gules (Ogilvy)
<line_47>	Sable, a chevron between three crescents all Argent
<line_48>	Or, an eagle displayed Azure charged on the breast by a covered cup Or
<line_49>	Argent, a lion rampant Gules and a chief Ermine
<line_50>	Ermine, a chief Gules
<line_51>	Azure, a chevron between three crescents all Argent
<line_52>	Sable, on a bend Argent three mascles Sable
<line_53>	Or, three piles in point Gules
<line_54>	Argent, three piles in point Sable surmounted by a bar wavy Gules in base
<line_55>	Argent, three leaves slipped Vert
<line_56>	Argent, three holly leaves slipped Vert
<line_57>	Quarterly: 1st and 4th Argent, a saltire engrailed Sable (Haldane) 
<line_58>	2nd Argent, a saltire engrailed between four roses all Gules (Earldom of Lennox) 3rd Or, a bend chequy .... and .... (Menteith)
<line_59>	Azure, three covered cups Or
<line_60>	Quarterly: 1st and 4th Argent, a lion rampant Gules within a bordure .... (Wemyss) 2nd and 3rd Or, a lion rampant Sable within a bordure .... (Glen of Inchmartin)
<line_61>	Quarterly: 1st and 4th Or, a lion rampant Gules within a bordure .... (Wemyss) 2nd and 3rd Argent, a bend Azure (Bisset)
<line_62>	Quarterly: 1st and 4th Argent, a cross moline Sable (Colville) 2nd and 3rd Gules, a fess chequy Argent and Azure (Lindsay)
<line_63>	Quarterly: 1st and 4th Argent, three pales Gules surmounted by a bend Azure charged with three lozenges Argent (Lundy) 2nd and 3rd Argent, a cross moline Gules (Colville)
<line_64>	Argent, three piles in point Sable
<line_65>	Quarterly: 1st and 4th Argent, a demi-otter rampant Sable issuing from a bar wavy Azure (Meldrum) 2nd and 3rd Argent, three unicorns' heads erased Sable (Preston)
<line_66>	Azure, a cross formy Argent between three mullets within a double tressure flory counter-flory all Or
<line_67>	Sable, on a chevron between three otters' heads all Argent another Sable
<line_68>	Quarterly: 1st and 4th Gules, three bears' heads couped Argent (Aberchirder) 2nd and 3rd Argent, three mullets Azure (Innes)
<line_69>	Or, three lions' heads erased Gules
<line_70>	Azure, a lion rampant and in chief three mullets all Argent
<line_71>	Quarterly: 1st and 4th Argent, a chevron between three crosses crosslet fitchy all Gules (Kennedy) 2nd and 3rd Azure, a lion rampant Argent (MacDougall)
<line_72>	Argent, a chevron between three water-bougets all Sable
<line_73>	Argent, a saltire engrailed Sable
<line_74>	Argent, a cross compony counter-compony Sable and Argent
<line_75>	...., a naked man arms extended hanging from a gallows ....
<line_76>	Quarterly: 1st and 4th Or, a lion rampant Gules (Abernethy) 2nd and 3rd Argent, on a fess Sable three cinquefoils Argent (Boswell)
<line_77>	Argent, a fess Azure
<line_78>	Argent, on a fess Azure a mullet Argent all within a double tressure flory counter-flory Gules
<line_79>	Argent, on a chief indented Gules two mullets Argent
<line_80>	Quarterly: 1st and 4th Azure, a bend Or (Cheyne) 2nd and 3rdArgent, three leaves slipped Vert (Marshall)
<line_81>	Per pale dancetty Sable and Argent, on a chief Argent a crescent Vert between two Ermine spots
<line_82>	Azure, three moors' heads erased Argent banded Azure with bows Argent
<line_83>	Argent, three escutcheons Gules
<line_84>	Ermine, three escutcheons Gules
<line_85>	Argent, a heart Gules and on a chief Azure three mullets Argent
<line_86>	Azure, an escallop and in chief two cinquefoils all Or
<line_87>	Vert, a fess chequy Argent and Azure and in base a mascle Or
<line_88>	Quarterly: 1st and 4th Argent, on a fess Azure three mullets Argent (Mure) 2nd and 3rd Azure, three garbs Or (Comyn)
<line_89>	Argent, on a bend Sable three buckles Or
<line_90>	Argent, on a chevron Sable an otter's head erased Argent and in base a cinquefoil Gules
<line_91>	Sable, an inescutcheon Gules charged with a cross Argent between three lions' heads erased Argent and in centre chief a mullet ....
<line_92>	Argent, three mascles Sable and on a chief Sable two lions rampant Argent
<line_93>	Gules, a stag's head couped between three crosses crosslet fitchy all Or
<line_94>	Or, a chevron chequy Argent and Azure between three purses Gules
<line_95>	Per cross indented Argent and Sable, a cross counterchanged
<line_96>	Or, on a chevron Sable three mascles Or
<line_97>	Quarterly: 1st and 4th Azure, three mascles Or (Wardlaw) 2nd and 3rd Argent, three water-bougets Sable (Valange)
<line_98>	Gules, a fess chequy Argent and Azure and in chief a mullet between two axes all Argent
<line_99>	Azure, a crescent between three mullets all Argent
<line_100>	Argent, a bend Gules
<line_101>	Azure, a cross engrailed Ermine
<line_102>	Azure, three garbs Or
<line_103>	Argent, a saltire Sable and on a chief Argent three pallets Sable
<line_104>	Sable, eight (3,3,2) mullets Argent
<line_105>	Argent, a saltire and chief Gules
<line_106>	Or, two chevrons Sable
<line_107>	Argent, an orle Gules and in chief three martlets Sable

